fund_name,stock_name,sector,holding_pct,market_cap,fund_category
Nippon India Growth Mid Cap Fund,Sundaram Finance Limited,Non banking financial company (nbfc),1.22,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,National Thermal Power Corporation Ltd.,Power generation,1.22,Large Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Prestige Estates Projects Ltd.,Residential  commercial projects,1.18,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,WABCO India Ltd.,Auto components & equipments,1.17,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,ICICI Lombard General Insurance Co Ltd.,General insurance,1.17,Large Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Gland Pharma Ltd.,Pharmaceuticals,1.16,Other,Mid Cap
Nippon India Growth Mid Cap Fund,HDB Financial Services Ltd.,Non banking financial company (nbfc),1.13,Other,Mid Cap
Nippon India Growth Mid Cap Fund,Supreme Industries Ltd.,Plastic products - industrial,1.1,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Dixon Technologies (India) Ltd.,Consumer electronics,1.08,Other,Mid Cap
Nippon India Growth Mid Cap Fund,Ipca Laboratories Ltd.,Pharmaceuticals,1.08,Other,Mid Cap
Nippon India Growth Mid Cap Fund,Info Edge (India) Ltd.,Internet & catalogue retail,1.08,Other,Mid Cap
Nippon India Growth Mid Cap Fund,Eternal Ltd.,E-retail/ e-commerce,1.06,Other,Mid Cap
Nippon India Growth Mid Cap Fund,Bharat Electronics Ltd.,Aerospace & defense,1.01,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Union Bank Of India,Public sector bank,1.01,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,FSN E-Commerce Ventures Ltd.,E-retail/ e-commerce,1.01,Other,Mid Cap
Nippon India Growth Mid Cap Fund,ICICI Bank Ltd.,Private sector bank,0.97,Large Cap,Mid Cap
Nippon India Growth Mid Cap Fund,NLC India Ltd.,Power generation,0.95,Small Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Vishal Mega Mart Ltd.,Diversified retail,0.93,Other,Mid Cap
Nippon India Growth Mid Cap Fund,Indian Hotels Company Limited,Hotels & resorts,0.91,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Schaeffler India Ltd.,Auto components & equipments,0.89,Other,Mid Cap
Nippon India Growth Mid Cap Fund,HDFC Asset Management Co. Ltd.,Asset management company,0.89,Large Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Mahindra & Mahindra Financial Services Ltd.,Non banking financial company (nbfc),0.89,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Hindustan Petroleum Corporation Ltd.,Refineries & marketing,0.86,Large Cap,Mid Cap
Nippon India Growth Mid Cap Fund,CG Power and Industrial Solutions Ltd.,Heavy electrical equipment,0.84,Small Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Dalmia Bharat Ltd.,Cement & cement products,0.82,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Blue Star Ltd.,Household appliances,0.8,Small Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Rural Electrification Corporation Limited,Financial institution,0.8,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Endurance Technologies Ltd.,Auto components & equipments,0.79,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Jubilant Foodworks Ltd.,Restaurants,0.79,Other,Mid Cap
Nippon India Growth Mid Cap Fund,Astral Ltd.,Plastic products - industrial,0.76,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Mankind Pharma Ltd.,Pharmaceuticals,0.76,Other,Mid Cap
Nippon India Growth Mid Cap Fund,Hyundai Motor India Ltd.,Passenger cars & utility vehicles,0.75,Other,Mid Cap
Nippon India Growth Mid Cap Fund,United Breweries Ltd.,Breweries & distilleries,0.75,Large Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Angel One Ltd.,Stockbroking & allied,0.73,Other,Mid Cap
Nippon India Growth Mid Cap Fund,Gujarat Gas Ltd.,Gas transmission/marketing,0.71,Other,Mid Cap
Nippon India Growth Mid Cap Fund,Trent Limited,Speciality retail,0.71,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Page Industries Ltd.,Garments & apparels,0.7,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Colgate - Palmolive (India) Limited,Personal care,0.67,Large Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Radico Khaitan Ltd.,Breweries & distilleries,0.66,Small Cap,Mid Cap
Nippon India Growth Mid Cap Fund,InterGlobe Aviation Ltd.,Airline,0.66,Large Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Coromandel International Ltd.,Fertilizers,0.61,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Balkrishna Industries Ltd.,Tyres & rubber products,0.6,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Container Corporation Of India Ltd.,Logistics solution provider,0.59,Large Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Bank Of India,Public sector bank,0.58,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Carborundum Universal Ltd.,Abrasives & bearings,0.58,Small Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Mphasis Ltd.,Computers - software & consulting,0.57,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,ITC Hotels Ltd,Hotels & resorts,0.56,Other,Mid Cap
Nippon India Growth Mid Cap Fund,3M India Ltd.,Diversified,0.51,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Timken India Ltd.,Abrasives & bearings,0.51,Small Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Devyani International Ltd.,Restaurants,0.51,Other,Mid Cap
Nippon India Growth Mid Cap Fund,MTAR Technologies Ltd.,Aerospace & defense,0.49,Other,Mid Cap
Nippon India Growth Mid Cap Fund,Hindustan Aeronautics Ltd.,Aerospace & defense,0.49,Other,Mid Cap
Nippon India Growth Mid Cap Fund,Gujarat Fluorochemicals Ltd.,Specialty chemicals,0.48,Other,Mid Cap
Nippon India Growth Mid Cap Fund,Swiggy Ltd.,E-retail/ e-commerce,0.48,Other,Mid Cap
Nippon India Growth Mid Cap Fund,LG Electronics India Pvt. Ltd.,Consumer electronics,0.47,Other,Mid Cap
Nippon India Growth Mid Cap Fund,NMDC LTD,Industrial minerals,0.42,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Prudent Corporate Advisory Services Ltd.,Financial products distributor,0.4,Other,Mid Cap
Nippon India Growth Mid Cap Fund,J.K. Cement Ltd.,Cement & cement products,0.39,Small Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Indusind Bank Ltd.,Private sector bank,0.37,Large Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Sanofi Consumer Healthcare India Ltd.,Pharmaceuticals,0.36,Other,Mid Cap
Nippon India Growth Mid Cap Fund,Crompton Greaves Consumer Electricals Ltd.,Household appliances,0.35,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Bata India Ltd.,Footwear,0.34,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,GlaxoSmithKline Pharmaceuticals Ltd.,Pharmaceuticals,0.33,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Sundram Fasteners Ltd.,Auto components & equipments,0.32,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Bayer Cropscience Ltd.,Pesticides & agrochemicals,0.32,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Indraprastha Gas Ltd.,Lpg/cng/png/lng supplier,0.27,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Apar Industries Ltd.,Other electrical equipment,0.22,Small Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Burger King India Ltd.,Restaurants,0.22,Other,Mid Cap
Nippon India Growth Mid Cap Fund,Deepak Nitrite Ltd.,Specialty chemicals,0.21,Small Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Tata Communications Ltd.,Telecom - cellular & fixed line services,0.21,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,Sanofi India Ltd.,Pharmaceuticals,0.2,Mid Cap,Mid Cap
Nippon India Growth Mid Cap Fund,ICICI Prudential Asset Management Co. Ltd.,Investment company,0.08,Other,Mid Cap
Nippon India Growth Mid Cap Fund,Globsyn Technologies Ltd.,It enabled services,0.0,Other,Mid Cap
Motilal Oswal Midcap Fund,One 97 Communications Ltd.,Financial technology (fintech),7.64,Other,Mid Cap
Motilal Oswal Midcap Fund,Kalyan Jewellers India Ltd.,Gems  jewellery and watches,7.48,Other,Mid Cap
Motilal Oswal Midcap Fund,Eternal Ltd.,E-retail/ e-commerce,6.4,Other,Mid Cap
Motilal Oswal Midcap Fund,KEI Industries Ltd.,Cables - electricals,6.28,Small Cap,Mid Cap
Motilal Oswal Midcap Fund,Persistent Systems Ltd.,Computers - software & consulting,6.2,Other,Mid Cap
Motilal Oswal Midcap Fund,Coforge Ltd.,Computers - software & consulting,6.09,Other,Mid Cap
Motilal Oswal Midcap Fund,Aditya Birla Capital Ltd.,Life insurance,5.67,Mid Cap,Mid Cap
Motilal Oswal Midcap Fund,Bharti Airtel Ltd.,Telecom - cellular & fixed line services,5.29,Large Cap,Mid Cap
Motilal Oswal Midcap Fund,Nifty 50 : Futures Near,Exchange and data platform,5.14,Other,Mid Cap
Motilal Oswal Midcap Fund,Dixon Technologies (India) Ltd.,Consumer electronics,4.29,Other,Mid Cap
Motilal Oswal Midcap Fund,Multi Commodity Exchange Of India Ltd.,Exchange and data platform,3.85,Other,Mid Cap
Motilal Oswal Midcap Fund,Bharti Hexacom Ltd.,Telecom - equipment & accessories,3.58,Other,Mid Cap
Motilal Oswal Midcap Fund,L&T Finance Holdings Ltd.,Investment company,3.37,Mid Cap,Mid Cap
Motilal Oswal Midcap Fund,Prestige Estates Projects Ltd.,Residential  commercial projects,3.28,Mid Cap,Mid Cap
Motilal Oswal Midcap Fund,Tube Investments Of India Ltd.,Auto components & equipments,3.18,Small Cap,Mid Cap
Motilal Oswal Midcap Fund,Billionbrains Garage Ventures Ltd.,Stockbroking & allied,3.07,Other,Mid Cap
Motilal Oswal Midcap Fund,Shriram Finance Ltd.,Non banking financial company (nbfc),3.04,Other,Mid Cap
Motilal Oswal Midcap Fund,BSE Ltd.,Exchange and data platform,2.83,Small Cap,Mid Cap
Motilal Oswal Midcap Fund,Bharat Electronics Ltd.,Aerospace & defense,2.6,Mid Cap,Mid Cap
Motilal Oswal Midcap Fund,Axis Bank Ltd.,Private sector bank,2.0,Large Cap,Mid Cap
Motilal Oswal Midcap Fund,PB Fintech Ltd.,Financial technology (fintech),1.83,Other,Mid Cap
Motilal Oswal Midcap Fund,Max Healthcare Institute Ltd.,Hospital,1.7,Other,Mid Cap
Motilal Oswal Midcap Fund,IDFC First Bank Ltd.,Private sector bank,1.53,Mid Cap,Mid Cap
Motilal Oswal Midcap Fund,ICICI Prudential Asset Management Co. Ltd.,Investment company,0.64,Other,Mid Cap
Motilal Oswal Midcap Fund,Au Small Finance Bank Ltd.,Other bank,0.55,Mid Cap,Mid Cap
Motilal Oswal Midcap Fund,GE T&D India Ltd.,Heavy electrical equipment,0.38,Small Cap,Mid Cap
Axis Midcap Fund,Federal Bank Ltd.,Private sector bank,3.98,Mid Cap,Mid Cap
Axis Midcap Fund,Fortis Healthcare Ltd.,Hospital,3.85,Other,Mid Cap
Axis Midcap Fund,Multi Commodity Exchange Of India Ltd.,Exchange and data platform,2.73,Other,Mid Cap
Axis Midcap Fund,GE T&D India Ltd.,Heavy electrical equipment,2.39,Small Cap,Mid Cap
Axis Midcap Fund,Schaeffler India Ltd.,Auto components & equipments,2.3,Other,Mid Cap
Axis Midcap Fund,Indian Hotels Company Limited,Hotels & resorts,2.26,Mid Cap,Mid Cap
Axis Midcap Fund,Nifty Bank : Futures Near,Exchange and data platform,1.97,Other,Mid Cap
Axis Midcap Fund,Phoenix Mills Ltd.,Residential  commercial projects,1.92,Small Cap,Mid Cap
Axis Midcap Fund,Coromandel International Ltd.,Fertilizers,1.87,Mid Cap,Mid Cap
Axis Midcap Fund,TVS Motor Company Ltd.,2/3 wheelers,1.81,Mid Cap,Mid Cap
Axis Midcap Fund,Cummins India Ltd.,Compressors  pumps & diesel engines,1.8,Mid Cap,Mid Cap
Axis Midcap Fund,Ashok Leyland Ltd.,Commercial vehicles,1.77,Mid Cap,Mid Cap
Axis Midcap Fund,UNO Minda Ltd.,Auto components & equipments,1.73,Small Cap,Mid Cap
Axis Midcap Fund,Ipca Laboratories Ltd.,Pharmaceuticals,1.63,Other,Mid Cap
Axis Midcap Fund,Apar Industries Ltd.,Other electrical equipment,1.61,Small Cap,Mid Cap
Axis Midcap Fund,Solar Industries India Ltd.,Explosives,1.57,Small Cap,Mid Cap
Axis Midcap Fund,J.K. Cement Ltd.,Cement & cement products,1.57,Small Cap,Mid Cap
Axis Midcap Fund,Torrent Power Ltd.,Integrated power utilities,1.51,Mid Cap,Mid Cap
Axis Midcap Fund,Indian Bank,Public sector bank,1.48,Mid Cap,Mid Cap
Axis Midcap Fund,Bharat Forge Ltd.,Castings & forgings,1.46,Mid Cap,Mid Cap
Axis Midcap Fund,Nifty 50 : Futures Near,Exchange and data platform,1.43,Other,Mid Cap
Axis Midcap Fund,Hitachi Energy India Ltd.,Heavy electrical equipment,1.38,Other,Mid Cap
Axis Midcap Fund,Bharti Hexacom Ltd.,Telecom - equipment & accessories,1.37,Other,Mid Cap
Axis Midcap Fund,Abbott India Ltd.,Pharmaceuticals,1.35,Mid Cap,Mid Cap
Axis Midcap Fund,Vishal Mega Mart Ltd.,Diversified retail,1.3,Other,Mid Cap
Axis Midcap Fund,Supreme Industries Ltd.,Plastic products - industrial,1.27,Mid Cap,Mid Cap
Axis Midcap Fund,Blue Star Ltd.,Household appliances,1.26,Small Cap,Mid Cap
Axis Midcap Fund,Premier Energies Ltd.,Other electrical equipment,1.21,Other,Mid Cap
Axis Midcap Fund,Bharat Heavy Electricals Ltd.,Heavy electrical equipment,1.2,Mid Cap,Mid Cap
Axis Midcap Fund,KEI Industries Ltd.,Cables - electricals,1.17,Small Cap,Mid Cap
Axis Midcap Fund,ICICI Lombard General Insurance Co Ltd.,General insurance,1.15,Large Cap,Mid Cap
Axis Midcap Fund,Sona BLW Precision Forgings Ltd.,Auto components & equipments,1.14,Other,Mid Cap
Axis Midcap Fund,Jindal Steel Ltd.,Iron & steel products,1.09,Mid Cap,Mid Cap
Axis Midcap Fund,Persistent Systems Ltd.,Computers - software & consulting,1.07,Other,Mid Cap
Axis Midcap Fund,Bharat Electronics Ltd.,Aerospace & defense,1.05,Mid Cap,Mid Cap
Axis Midcap Fund,Lupin Ltd.,Pharmaceuticals,1.05,Large Cap,Mid Cap
Axis Midcap Fund,CG Power and Industrial Solutions Ltd.,Heavy electrical equipment,1.02,Small Cap,Mid Cap
Axis Midcap Fund,Bajaj Finance Ltd.,Non banking financial company (nbfc),1.01,Other,Mid Cap
Axis Midcap Fund,Pi Industries Ltd.,Pesticides & agrochemicals,1.01,Mid Cap,Mid Cap
Axis Midcap Fund,Au Small Finance Bank Ltd.,Other bank,0.98,Mid Cap,Mid Cap
Axis Midcap Fund,PB Fintech Ltd.,Financial technology (fintech),0.98,Other,Mid Cap
Axis Midcap Fund,Hindustan Petroleum Corporation Ltd.,Refineries & marketing,0.97,Large Cap,Mid Cap
Axis Midcap Fund,SRF Ltd.,Specialty chemicals,0.97,Mid Cap,Mid Cap
Axis Midcap Fund,Cholamandalam Investment & Finance Co. Ltd.,Non banking financial company (nbfc),0.93,Other,Mid Cap
Axis Midcap Fund,Coforge Ltd.,Computers - software & consulting,0.88,Other,Mid Cap
Axis Midcap Fund,Sundaram Finance Limited,Non banking financial company (nbfc),0.87,Mid Cap,Mid Cap
Axis Midcap Fund,HDFC Asset Management Co. Ltd.,Asset management company,0.86,Large Cap,Mid Cap
Axis Midcap Fund,L&T Finance Holdings Ltd.,Investment company,0.84,Mid Cap,Mid Cap
Axis Midcap Fund,Cholamandalam Financial Holdings Ltd.,Investment company,0.81,Small Cap,Mid Cap
Axis Midcap Fund,K.P.R. Mill Ltd.,Other textile products,0.77,Other,Mid Cap
Axis Midcap Fund,Mphasis Ltd.,Computers - software & consulting,0.75,Mid Cap,Mid Cap
Axis Midcap Fund,ICICI Bank Ltd.,Private sector bank,0.75,Large Cap,Mid Cap
Axis Midcap Fund,Eternal Ltd.,E-retail/ e-commerce,0.75,Other,Mid Cap
Axis Midcap Fund,Swiggy Ltd.,E-retail/ e-commerce,0.73,Other,Mid Cap
Axis Midcap Fund,Alkem Laboratories Ltd.,Pharmaceuticals,0.72,Mid Cap,Mid Cap
Axis Midcap Fund,Info Edge (India) Ltd.,Internet & catalogue retail,0.71,Other,Mid Cap
Axis Midcap Fund,Trent Limited,Speciality retail,0.71,Mid Cap,Mid Cap
Axis Midcap Fund,Voltas Limited,Household appliances,0.67,Mid Cap,Mid Cap
Axis Midcap Fund,3M India Ltd.,Diversified,0.66,Mid Cap,Mid Cap
Axis Midcap Fund,J.b. Chemicals & Pharmaceuticals Ltd.,Pharmaceuticals,0.63,Other,Mid Cap
Axis Midcap Fund,Tube Investments Of India Ltd.,Auto components & equipments,0.6,Small Cap,Mid Cap
Axis Midcap Fund,WABCO India Ltd.,Auto components & equipments,0.59,Mid Cap,Mid Cap
Axis Midcap Fund,Jubilant Foodworks Ltd.,Restaurants,0.59,Other,Mid Cap
Axis Midcap Fund,Prestige Estates Projects Ltd.,Residential  commercial projects,0.58,Mid Cap,Mid Cap
Axis Midcap Fund,ITC Hotels Ltd,Hotels & resorts,0.58,Other,Mid Cap
Axis Midcap Fund,Indus Towers Ltd.,Telecom - infrastructure,0.56,Large Cap,Mid Cap
Axis Midcap Fund,Oracle Financial Services Software Limited,Software products,0.55,Mid Cap,Mid Cap
Axis Midcap Fund,FSN E-Commerce Ventures Ltd.,E-retail/ e-commerce,0.52,Other,Mid Cap
Axis Midcap Fund,Glenmark Pharmaceuticals Ltd.,Pharmaceuticals,0.49,Mid Cap,Mid Cap
Axis Midcap Fund,Balkrishna Industries Ltd.,Tyres & rubber products,0.47,Mid Cap,Mid Cap
Axis Midcap Fund,Endurance Technologies Ltd.,Auto components & equipments,0.46,Mid Cap,Mid Cap
Axis Midcap Fund,Fine Organic Industries Ltd.,Specialty chemicals,0.45,Small Cap,Mid Cap
Axis Midcap Fund,BSE Ltd.,Exchange and data platform,0.45,Small Cap,Mid Cap
Axis Midcap Fund,LG Electronics India Pvt. Ltd.,Consumer electronics,0.45,Other,Mid Cap
Axis Midcap Fund,Jyoti CNC Automation Ltd.,Industrial products,0.37,Other,Mid Cap
Axis Midcap Fund,Astral Ltd.,Plastic products - industrial,0.33,Mid Cap,Mid Cap
Axis Midcap Fund,L&T Technology Services Ltd.,It enabled services,0.3,Mid Cap,Mid Cap
Axis Midcap Fund,Dixon Technologies (India) Ltd.,Consumer electronics,0.29,Other,Mid Cap
Axis Midcap Fund,Billionbrains Garage Ventures Ltd.,Stockbroking & allied,0.25,Other,Mid Cap
Axis Midcap Fund,Mankind Pharma Ltd.,Pharmaceuticals,0.24,Other,Mid Cap
Axis Midcap Fund,Page Industries Ltd.,Garments & apparels,0.23,Mid Cap,Mid Cap
Axis Midcap Fund,Linde India Ltd.,Industrial gases,0.23,Small Cap,Mid Cap
Axis Midcap Fund,Tata Communications Ltd.,Telecom - cellular & fixed line services,0.21,Mid Cap,Mid Cap
Axis Midcap Fund,Shriram Finance Ltd.,Non banking financial company (nbfc),0.21,Other,Mid Cap
Axis Midcap Fund,ICICI Prudential Life Insurance Co Ltd.,Life insurance,0.19,Large Cap,Mid Cap
Axis Midcap Fund,Anthem Biosciences Ltd.,Biotechnology,0.14,Other,Mid Cap
Axis Midcap Fund,Oil India Ltd.,Oil exploration & production,0.13,Mid Cap,Mid Cap
Axis Midcap Fund,Container Corporation Of India Ltd.,Logistics solution provider,0.13,Large Cap,Mid Cap
Axis Midcap Fund,KPIT Technologies Ltd.,Computers - software & consulting,0.1,Other,Mid Cap
Axis Midcap Fund,Honeywell Automation India Ltd.,Industrial products,0.1,Mid Cap,Mid Cap
Axis Midcap Fund,Lenskart Solutions Ltd.,Speciality retail,0.08,Other,Mid Cap
Axis Midcap Fund,Meesho Ltd.,E-retail/ e-commerce,0.08,Other,Mid Cap
Axis Midcap Fund,HDB Financial Services Ltd.,Non banking financial company (nbfc),0.06,Other,Mid Cap
Axis Midcap Fund,Aarti Industries Ltd.,Specialty chemicals,0.06,Mid Cap,Mid Cap
Axis Midcap Fund,Suven Pharmaceuticals Ltd.,Pharmaceuticals,0.04,Other,Mid Cap
Axis Midcap Fund,TVS Motor Company Ltd. - Preference Shares,2/3 wheelers,0.02,Other,Mid Cap
SBI Midcap Fund,Torrent Power Ltd.,Integrated power utilities,3.92,Mid Cap,Mid Cap
SBI Midcap Fund,Bharat Heavy Electricals Ltd.,Heavy electrical equipment,3.43,Mid Cap,Mid Cap
SBI Midcap Fund,CRISIL Ltd.,Other financial services,3.21,Mid Cap,Mid Cap
SBI Midcap Fund,Sundaram Finance Limited,Non banking financial company (nbfc),3.21,Mid Cap,Mid Cap
SBI Midcap Fund,Supreme Industries Ltd.,Plastic products - industrial,3.07,Mid Cap,Mid Cap
SBI Midcap Fund,Mahindra & Mahindra Financial Services Ltd.,Non banking financial company (nbfc),3.07,Mid Cap,Mid Cap
SBI Midcap Fund,Bharat Forge Ltd.,Castings & forgings,2.97,Mid Cap,Mid Cap
SBI Midcap Fund,Max Financial Services Ltd.,Life insurance,2.82,Mid Cap,Mid Cap
SBI Midcap Fund,AIA Engineering Ltd.,Castings & forgings,2.81,Mid Cap,Mid Cap
SBI Midcap Fund,Federal Bank Ltd.,Private sector bank,2.71,Mid Cap,Mid Cap
SBI Midcap Fund,Biocon Ltd.,Pharmaceuticals,2.63,Mid Cap,Mid Cap
SBI Midcap Fund,FSN E-Commerce Ventures Ltd.,E-retail/ e-commerce,2.55,Other,Mid Cap
SBI Midcap Fund,ICICI Prudential Life Insurance Co Ltd.,Life insurance,2.54,Large Cap,Mid Cap
SBI Midcap Fund,Shree Cement Ltd.,Cement & cement products,2.53,Large Cap,Mid Cap
SBI Midcap Fund,State Bank Of India,Public sector bank,2.34,Large Cap,Mid Cap
SBI Midcap Fund,HDB Financial Services Ltd.,Non banking financial company (nbfc),2.28,Other,Mid Cap
SBI Midcap Fund,Schaeffler India Ltd.,Auto components & equipments,2.26,Other,Mid Cap
SBI Midcap Fund,ICICI Lombard General Insurance Co Ltd.,General insurance,2.22,Large Cap,Mid Cap
SBI Midcap Fund,Grindwell Norton Ltd.,Abrasives & bearings,2.08,Small Cap,Mid Cap
SBI Midcap Fund,Pine Labs Ltd.,Financial technology (fintech),2.05,Other,Mid Cap
SBI Midcap Fund,J.K. Cement Ltd.,Cement & cement products,1.9,Small Cap,Mid Cap
SBI Midcap Fund,Hindustan Petroleum Corporation Ltd.,Refineries & marketing,1.89,Large Cap,Mid Cap
SBI Midcap Fund,Motherson Sumi Wiring India Ltd.,Auto components & equipments,1.87,Other,Mid Cap
SBI Midcap Fund,Indus Towers Ltd.,Telecom - infrastructure,1.85,Large Cap,Mid Cap
SBI Midcap Fund,L&T Technology Services Ltd.,It enabled services,1.82,Mid Cap,Mid Cap
SBI Midcap Fund,Oberoi Realty Ltd.,Residential  commercial projects,1.78,Mid Cap,Mid Cap
SBI Midcap Fund,Dalmia Bharat Ltd.,Cement & cement products,1.76,Mid Cap,Mid Cap
SBI Midcap Fund,Jubilant Foodworks Ltd.,Restaurants,1.68,Other,Mid Cap
SBI Midcap Fund,Berger Paints India Ltd.,Paints,1.68,Large Cap,Mid Cap
SBI Midcap Fund,Thermax Ltd.,Heavy electrical equipment,1.62,Mid Cap,Mid Cap
SBI Midcap Fund,Colgate - Palmolive (India) Limited,Personal care,1.54,Large Cap,Mid Cap
SBI Midcap Fund,Siemens Ltd.,Heavy electrical equipment,1.47,Large Cap,Mid Cap
SBI Midcap Fund,Phoenix Mills Ltd.,Residential  commercial projects,1.43,Small Cap,Mid Cap
SBI Midcap Fund,Carborundum Universal Ltd.,Abrasives & bearings,1.39,Small Cap,Mid Cap
SBI Midcap Fund,Procter & Gamble Hygiene & Health Care Ltd.,Personal care,1.37,Large Cap,Mid Cap
SBI Midcap Fund,GlaxoSmithKline Pharmaceuticals Ltd.,Pharmaceuticals,1.33,Mid Cap,Mid Cap
SBI Midcap Fund,Page Industries Ltd.,Garments & apparels,1.33,Mid Cap,Mid Cap
SBI Midcap Fund,J S W Energy Ltd.,Power generation,1.33,Mid Cap,Mid Cap
SBI Midcap Fund,Sundram Fasteners Ltd.,Auto components & equipments,1.32,Mid Cap,Mid Cap
SBI Midcap Fund,Adani Energy Solutions Ltd.,Power - transmission,1.31,Mid Cap,Mid Cap
SBI Midcap Fund,Star Health and Allied Insurance Co Ltd.,General insurance,1.27,Other,Mid Cap
SBI Midcap Fund,Hatsun Agro Products Ltd.,Dairy products,1.15,Mid Cap,Mid Cap
SBI Midcap Fund,Lupin Ltd.,Pharmaceuticals,1.07,Large Cap,Mid Cap
SBI Midcap Fund,India Cements Ltd.,Cement & cement products,1.05,Small Cap,Mid Cap
SBI Midcap Fund,Godrej Properties Ltd.,Residential  commercial projects,0.97,Mid Cap,Mid Cap
SBI Midcap Fund,Pi Industries Ltd.,Pesticides & agrochemicals,0.82,Mid Cap,Mid Cap
SBI Midcap Fund,Urban Company Ltd.,E-retail/ e-commerce,0.53,Other,Mid Cap
SBI Midcap Fund,Sanofi India Ltd.,Pharmaceuticals,0.22,Mid Cap,Mid Cap
SBI Midcap Fund,Hexaware Technologies Ltd.,Computers - software & consulting,0.17,Other,Mid Cap
SBI Midcap Fund,K.P.R. Mill Ltd.,Other textile products,0.14,Other,Mid Cap
SBI Midcap Fund,Suven Pharmaceuticals Ltd.,Pharmaceuticals,0.02,Other,Mid Cap
SBI Midcap Fund,Alkem Laboratories Ltd.,Pharmaceuticals,0.0,Mid Cap,Mid Cap
SBI Midcap Fund,Manpasand Beverages Ltd.,Other beverages,0.0,Small Cap,Mid Cap
DSP Midcap Fund,Ipca Laboratories Ltd.,Pharmaceuticals,3.11,Other,Mid Cap
DSP Midcap Fund,Coforge Ltd.,Computers - software & consulting,2.98,Other,Mid Cap
DSP Midcap Fund,Voltas Limited,Household appliances,2.89,Mid Cap,Mid Cap
DSP Midcap Fund,Schaeffler India Ltd.,Auto components & equipments,2.81,Other,Mid Cap
DSP Midcap Fund,Jindal Steel Ltd.,Iron & steel products,2.77,Mid Cap,Mid Cap
DSP Midcap Fund,Fortis Healthcare Ltd.,Hospital,2.74,Other,Mid Cap
DSP Midcap Fund,Max Financial Services Ltd.,Life insurance,2.72,Mid Cap,Mid Cap
DSP Midcap Fund,Coromandel International Ltd.,Fertilizers,2.58,Mid Cap,Mid Cap
DSP Midcap Fund,Federal Bank Ltd.,Private sector bank,2.4,Mid Cap,Mid Cap
DSP Midcap Fund,Bharat Forge Ltd.,Castings & forgings,2.35,Mid Cap,Mid Cap
DSP Midcap Fund,Supreme Industries Ltd.,Plastic products - industrial,2.3,Mid Cap,Mid Cap
DSP Midcap Fund,Au Small Finance Bank Ltd.,Other bank,2.28,Mid Cap,Mid Cap
DSP Midcap Fund,Phoenix Mills Ltd.,Residential  commercial projects,2.23,Small Cap,Mid Cap
DSP Midcap Fund,KEI Industries Ltd.,Cables - electricals,2.16,Small Cap,Mid Cap
DSP Midcap Fund,Nippon Life India Asset Management Ltd.,Asset management company,2.15,Mid Cap,Mid Cap
DSP Midcap Fund,Cholamandalam Investment & Finance Co. Ltd.,Non banking financial company (nbfc),2.15,Other,Mid Cap
